# moran_chai.txt  魔然方案原始拆分數據
#
# Copyright (C) 2024 Project Moran
# ( https://github.com/ksqsf/rime-moran/ )
# Licensed under CC-NC-SA 3.0
#
# Primary Author: ksqsf
# Contributors: 吕奉先, SunShine, 吥捨洳楓, 三山剑客

〇 aa {〇}
の aa {の}
㐀 aa 一一
㐁 ak 一口
㐁 aa 一一
㐂 qq 七七
㐄 fg {㐄}
㐄 aa 丨一
㐅 pd 丿丶
㐆 pg 丿𠃌
㐌 ry 𠂉也
㐎 wy 文乙
㐖 jg 吉乚
㐜 qj 求九
㐡 jr 九耎
㐤 jv 九真
㐧 dp 丶丿
㐨 yy 予予
㐩 jj 井井
㐪 wd 亠丶
㐫 wx 亠凶
㐬 wi 亠川
㐭 wh 亠回
㐮 wd 亠𧘇
㐯 wx 亠香
㐰 rk 亻口
㐱 rp 人彡
㐲 rd 亻大
㐳 rw 亻兀
㐴 rx 亻夕
㐵 ry 亻于
㐶 rs 亻巳
㐷 rm 亻马
㐸 rq 亻欠
㐹 rq 亻气
㐺 rr 亻人
㐻 rn 亻内
㐼 ru 亻升
㐽 rf 亻风
㐾 ry 亻元
㑀 rt 亻太
㑁 ri 亻出
㑂 rb 亻丙
㑃 ry 亻幼
㑄 rm 亻母
㑅 ru 亻上
㑅 ra 亻一
㑆 rx 亻兄
㑇 ri 亻刍
㑈 rd 亻东
㑉 rs 亻夙
㑊 ry 亻亦
㑋 rq 亻曲
㑌 rk 亻匡
㑍 rl 亻耒
㑎 ru 亻山
㑏 ru 亻守
㑐 ru 亻尗
㑑 rz 亻自
㑒 rd 人丶
㑓 ry 亻友
㑔 ry 亻页
㑕 rs 亻岁
㑖 rv 亻仲
㑗 ru 亻身
㑘 rj 亻戒
㑙 rv .
㑚 rn 亻那
㑛 ru 亻束
㑜 rv 亻折
㑝 rn 亻弄
㑞 rv .
㑟 rb 亻兵
㑠 rj 亻坚
㑡 rj 亻即
㑢 rq 亻却
㑣 rl 亻林
㑤 rm 亻苗
㑥 ry 亻易
㑦 rl 亻戾
㑧 rj 亻季
㑨 ru 亻矢
㑩 rl 亻罗
㑪 rj .
㑫 rn 亻念
㑬 rg 亻姑
㑭 rc .
㑮 rj 亻軍
㑯 ry 亻頁
㑰 rh .
㑱 rr 亻柔
㑲 rn 亻南
㑳 ri 亻芻
㑴 ry 亻又
㑵 rj 亻疾
㑶 rq 亻氣
㑷 rn 亻能
㑸 rk 亻可
㑹 ro 人日
㑺 rj 亻隽
㑻 rm 亻密
㑼 rl 亻略
㑽 rt 亻堂
㑾 ry 亻言
㑿 ri 亻巢
㒀 rd .
㒁 ry 亻圉
㒂 rv 亻著
㒃 re 亻貳
㒄 rr 亻然
㒅 ri .
㒆 rh .
㒇 rw 亻無
㒈 rg 亻敢
㒉 rt 亻棠
㒊 rs .
㒋 rs 亻斯
㒌 rq 亻煢
㒍 rl .
㒎 rz .
㒏 rh 亻寒
㒐 rs 亻筍
㒑 rh 亻匯
㒒 ry 亻業
㒓 rd 亻達
㒔 ru 亻蜀
㒕 ry 亻雍
㒖 rw 亻萬
㒗 rt .
㒘 ru .
㒙 rm 亻綿
㒚 ry .
㒛 rv .
㒜 ry 亻與
㒝 rm 亻蔑
㒞 rs .
㒟 rn .
㒠 rj 亻韭
㒡 ry 亻繇
㒢 rl .
㒣 ry 亻應
㒤 rn 亻聶
㒥 rf 亻豐
㒦 rl 亻壘
㒧 rl 亻離
㒨 rs .
㒩 rl 亻蠡
㒪 ru 人豕
㒫 ey .
㒫 iw 厂兀
㒬 yw 元王
㒭 xx 兄兄
㒮 yu 元豕
㒯 gh 光華
㒰 rg 入工
㒱 rx 入夕
㒲 ro 入日
㒳 kr 冂入
㒴 ri 入出
㒵 bb 八白
㒶 bb 八白
㒷 by .
㒷 kb 冂八
㒸 bu 丷豕
㒹 vv 真真
㒺 ka .
㒻 oj .
㒻 mj .
㒼 cr 廿入
㒽 oj .
㒽 mj .
㒾 ou .
㒾 mu .
㒿 ol .
㒿 ml .
㓀 bb 冖卜
㓁 br .
㓂 bn 冖女
